,date,tsla_compound,tsla_sentiment
165,2015-11-04,0.1910000000000001,1
166,2015-11-06,0.29600000000000004,1
167,2015-11-10,-1.3763999999999998,-1
168,2015-11-13,0.0,-1
169,2015-11-17,0.0,-1
170,2015-11-18,-0.4588,-1
171,2015-11-19,0.1933,1
172,2015-11-20,-0.2899,-1
173,2015-11-23,0.29600000000000004,1
174,2015-11-24,-0.4588,-1
175,2015-11-25,0.8726,1
176,2015-12-01,0.0,-1
177,2015-12-02,-0.2263,-1
178,2015-12-03,-0.0993,-1
179,2015-12-04,0.0,-1
180,2015-12-07,0.4019,1
181,2015-12-08,0.0,-1
182,2015-12-09,0.4784,1
183,2015-12-10,0.5096,1
184,2015-12-14,0.34,1
185,2015-12-16,1.1187,1
186,2015-12-17,0.0,-1
187,2015-12-18,0.0,-1
188,2015-12-21,-0.2732,-1
189,2015-12-29,1.1185,1
190,2015-12-30,0.0,-1
191,2015-12-31,0.0,-1
192,2016-01-03,-0.2732,-1
193,2016-01-04,-0.9431,-1
194,2016-01-05,0.0,-1
195,2016-01-07,0.25,1
196,2016-01-10,0.0,-1
197,2016-01-11,-0.29600000000000004,-1
198,2016-01-12,0.29600000000000004,1
199,2016-01-14,0.8225,1
200,2016-01-19,0.0,-1
201,2016-01-20,0.0,-1
202,2016-01-22,0.5106,1
203,2016-01-25,0.4404,1
204,2016-01-26,0.0,-1
205,2016-01-31,0.4588,1
206,2016-02-01,-0.7764,-1
207,2016-02-02,-0.2592,-1
208,2016-02-03,-0.3816,-1
209,2016-02-08,1.0939,1
210,2016-02-09,0.5024000000000001,1
211,2016-02-10,0.732,1
212,2016-02-11,0.10829999999999997,1
213,2016-02-12,0.4588,1
214,2016-02-16,1.0979999999999999,1
215,2016-02-17,1.827,1
216,2016-02-20,0.0,-1
217,2016-02-23,0.6369,1
218,2016-02-24,0.29600000000000004,1
219,2016-02-25,0.0,-1
220,2016-02-29,0.0,-1
221,2016-03-01,0.29600000000000004,1
222,2016-03-03,-0.4404,-1
223,2016-03-04,0.03760000000000008,1
224,2016-03-08,0.0,-1
225,2016-03-11,-0.4019,-1
226,2016-03-14,0.6611,1
227,2016-03-16,0.29600000000000004,1
228,2016-03-18,0.8755999999999999,1
229,2016-03-21,0.6369,1
230,2016-03-22,0.027000000000000024,1
231,2016-03-23,-0.4739,-1
232,2016-03-25,0.1779,1
233,2016-03-28,-0.6611,-1
234,2016-03-29,0.2672,1
235,2016-03-31,2.1956,1
236,2016-04-01,2.3520000000000003,1
237,2016-04-02,0.0,-1
238,2016-04-03,0.4588,1
239,2016-04-04,-0.9224,-1
240,2016-04-05,0.3818,1
241,2016-04-06,0.0,-1
242,2016-04-07,0.0,-1
243,2016-04-11,-0.5859,-1
244,2016-04-12,0.5106,1
245,2016-04-13,0.2023,1
246,2016-04-14,0.0,-1
247,2016-04-17,0.0,-1
248,2016-04-18,0.0,-1
249,2016-04-19,0.0,-1
250,2016-04-20,0.3561,1
251,2016-04-21,0.0,-1
252,2016-04-22,0.0,-1
253,2016-04-25,0.0,-1
254,2016-04-26,0.2023,1
255,2016-05-02,0.2732,1
256,2016-05-03,-0.1483,-1
257,2016-05-04,-1.5743,-1
258,2016-05-05,1.9210000000000005,1
259,2016-05-09,-0.2732,-1
260,2016-05-11,-0.2732,-1
261,2016-05-12,0.732,1
262,2016-05-13,0.0,-1
263,2016-05-16,-0.4588,-1
264,2016-05-17,-0.9176,-1
265,2016-05-18,0.4346,1
266,2016-05-19,0.8978999999999999,1
267,2016-05-20,1.2003,1
268,2016-05-23,0.4588,1
269,2016-05-24,0.3818,1
270,2016-05-25,-0.29600000000000004,-1
271,2016-05-26,-0.01839999999999997,-1
272,2016-06-01,0.2585,1
273,2016-06-02,-0.4019,-1
274,2016-06-03,1.3594,1
275,2016-06-06,0.7547999999999999,1
276,2016-06-07,0.7293999999999999,1
277,2016-06-08,0.4123000000000001,1
278,2016-06-09,-0.2324,-1
279,2016-06-10,0.6909,1
280,2016-06-11,0.0,-1
281,2016-06-13,0.0,-1
282,2016-06-14,0.0,-1
283,2016-06-16,0.0,-1
284,2016-06-17,0.3182,1
285,2016-06-20,1.0955,1
286,2016-06-21,-0.3639,-1
287,2016-06-22,-1.3948999999999998,-1
288,2016-06-23,-0.2599,-1
289,2016-06-24,-0.1628,-1
290,2016-06-26,0.0,-1
291,2016-06-27,0.6634,1
292,2016-06-28,1.4051999999999998,1
293,2016-06-29,1.3177,1
294,2016-06-30,-2.958,-1
295,2016-07-01,0.5489999999999999,1
296,2016-07-03,-0.4588,-1
297,2016-07-04,-0.4019,-1
298,2016-07-05,-1.9674,-1
299,2016-07-06,-2.7688,-1
300,2016-07-07,-0.4019,-1
301,2016-07-08,-0.45899999999999996,-1
302,2016-07-10,0.5859,1
303,2016-07-11,0.2993000000000001,1
304,2016-07-12,-0.29600000000000004,-1
305,2016-07-13,-1.3634,-1
306,2016-07-14,-0.7218,-1
307,2016-07-15,-1.0311,-1
308,2016-07-18,0.4404,1
309,2016-07-19,0.0,-1
310,2016-07-20,0.8494,1
311,2016-07-21,0.7769999999999999,1
312,2016-07-22,-0.6705,-1
313,2016-07-23,0.0,-1
314,2016-07-25,1.227,1
315,2016-07-26,-0.8805,-1
316,2016-07-27,0.5431,1
317,2016-07-29,0.0,-1
318,2016-08-01,0.32309999999999994,1
319,2016-08-02,0.0,-1
320,2016-08-03,-0.4404,-1
321,2016-08-04,0.044999999999999984,1
322,2016-08-05,0.0,-1
323,2016-08-06,0.0,-1
324,2016-08-08,0.8009,1
325,2016-08-09,-0.17659999999999998,-1
326,2016-08-10,-0.4019,-1
327,2016-08-11,0.2023,1
328,2016-08-13,0.5106,1
329,2016-08-15,-0.1059,-1
330,2016-08-16,-0.6947,-1
331,2016-08-17,0.0,-1
332,2016-08-18,0.0,-1
333,2016-08-22,0.0,-1
334,2016-08-23,0.25349999999999995,1
335,2016-08-24,0.4703,1
336,2016-08-25,1.6162999999999998,1
337,2016-08-27,0.0,-1
338,2016-08-29,0.0,-1
339,2016-08-30,0.0,-1
340,2016-08-31,-0.1027,-1
341,2016-09-01,-0.4882,-1
342,2016-09-02,0.4588,1
343,2016-09-06,0.4939,1
344,2016-09-07,-1.2978,-1
345,2016-09-08,0.2210999999999999,1
346,2016-09-09,-0.9735,-1
347,2016-09-10,0.0,-1
348,2016-09-11,-0.7579,-1
349,2016-09-12,0.09189999999999998,1
350,2016-09-13,-0.22120000000000006,-1
