date,compound,neg,neu,pos
2016-07-20,0.8859999999999999,0.186,1.8239999999999998,0.9890000000000001
2016-07-22,-1.758,1.01,6.774,0.216
2016-07-25,0.9642,0.0,1.5230000000000001,0.477
2016-07-26,-0.9176,0.45,1.55,0.0
2016-07-27,0.0,0.0,9.0,0.0
2016-07-28,1.3224,0.0,4.336,0.6639999999999999
2016-07-29,0.7820999999999999,0.231,2.3040000000000003,0.46499999999999997
2016-08-02,-0.4588,0.214,2.786,0.0
2016-08-03,0.25869999999999993,0.657,3.43,0.912
2016-08-04,0.296,0.0,2.8449999999999998,0.155
2016-08-08,-0.3612,0.161,1.839,0.0
2016-08-09,-1.1136,0.702,4.082,0.216
2016-08-10,0.8521000000000001,0.2,4.1290000000000004,0.671
2016-08-11,-0.732,0.504,2.496,0.0
2016-08-12,0.0,0.0,1.0,0.0
2016-08-15,0.7547999999999999,0.0,3.6189999999999998,0.381
2016-08-16,0.5176000000000001,0.164,1.3900000000000001,0.446
2016-08-17,0.2023,0.0,0.859,0.141
2016-08-18,0.0,0.0,2.0,0.0
2016-08-19,-0.9176,0.487,1.513,0.0
2016-08-22,-0.11879999999999996,0.512,5.0360000000000005,0.452
2016-08-23,0.0,0.0,1.0,0.0
2016-08-24,-5.8100000000000005,2.982,12.658000000000001,0.36
2016-08-25,-0.7725,1.1059999999999999,6.041,0.853
2016-08-26,0.0,0.0,3.0,0.0
2016-08-29,0.9082999999999999,0.18,2.1470000000000002,0.674
2016-08-30,0.30079999999999996,0.906,7.093999999999999,1.0
2016-08-31,-0.28069999999999995,0.5,2.241,0.259
2016-09-01,-1.6615,1.112,3.701,0.188
2016-09-02,-0.5859,0.304,0.696,0.0
2016-09-06,0.6112,0.0,2.757,0.243
2016-09-07,-1.2317,1.4919999999999998,7.665000000000001,0.8430000000000001
2016-09-08,-0.37529999999999997,0.504,3.253,0.243
2016-09-09,-2.7974,1.9600000000000002,5.04,0.0
2016-09-11,0.0,0.0,1.0,0.0
2016-09-12,-0.659,0.91,3.469,0.621
2016-09-13,-1.4859,0.967,3.7560000000000002,0.277
2016-09-14,-0.1801999999999998,1.334,11.282000000000002,1.384
2016-09-15,-0.4588,0.273,1.7269999999999999,0.0
2016-09-16,-1.3763999999999998,0.5900000000000001,2.41,0.0
2016-09-19,1.3763999999999998,0.0,5.125,0.875
2016-09-20,-1.1213,0.768,4.856999999999999,0.375
2016-09-21,-0.35609999999999997,0.214,1.5270000000000001,0.259
2016-09-22,0.4588,0.273,6.263,0.46399999999999997
2016-09-23,0.5894999999999999,0.617,8.459999999999999,0.9219999999999999
