,date,em_tweets3_compound,em_tweets3_sentiment
193,2013-03-31,1.3764,1
194,2013-04-01,3.0479000000000003,1
195,2013-04-02,2.5575,1
196,2013-04-03,0.6249,1
197,2013-04-08,-0.10210000000000008,-1
198,2013-04-09,1.8386,1
199,2013-04-10,1.2721,1
200,2013-04-11,1.5436,1
201,2013-04-13,0.7096,1
202,2013-04-17,0.9213,1
203,2013-04-18,0.4019,1
204,2013-04-21,0.8398,1
205,2013-04-22,1.1857,1
206,2013-04-23,1.6291000000000002,1
207,2013-04-24,0.413,1
208,2013-04-25,2.176,1
209,2013-04-26,-0.10180000000000004,-1
210,2013-04-28,-0.6597,-1
211,2013-04-30,0.5707,1
212,2013-05-01,1.6264,1
213,2013-05-02,0.6662,1
214,2013-05-03,5.5635,1
215,2013-05-04,1.9736,1
216,2013-05-05,1.8651,1
217,2013-05-06,1.247,1
218,2013-05-07,0.01749999999999996,1
219,2013-05-08,1.1295,1
220,2013-05-09,0.7935,1
221,2013-05-12,2.4925,1
222,2013-05-13,1.6219999999999999,1
223,2013-05-14,0.6249,1
224,2013-05-15,0.0,-1
225,2013-05-18,0.6705,1
226,2013-05-19,-0.2085,-1
227,2013-05-20,0.5106,1
228,2013-05-22,0.0,-1
229,2013-05-23,-0.3336,-1
230,2013-05-24,-1.0001,-1
231,2013-05-25,6.640200000000001,1
232,2013-05-26,0.2081,1
233,2013-05-30,0.6486,1
234,2013-06-03,0.5342,1
235,2013-06-05,0.0,-1
236,2013-06-06,-0.6382,-1
237,2013-06-08,0.8413999999999999,1
238,2013-06-10,-0.34,-1
239,2013-06-12,0.6651,1
240,2013-06-18,0.1154,1
241,2013-06-19,0.0,-1
242,2013-06-20,0.0,-1
243,2013-06-21,-0.6369,-1
244,2013-06-24,0.0,-1
245,2013-06-25,0.3774,1
246,2013-06-28,1.4506,1
247,2013-06-29,0.0,-1
248,2013-06-30,0.6115,1
249,2013-07-02,0.795,1
250,2013-07-06,0.0,-1
251,2013-07-09,1.0539,1
252,2013-07-10,1.0354,1
253,2013-07-15,0.8962,1
254,2013-07-23,0.5562,1
255,2013-07-24,-0.0516,-1
256,2013-07-28,0.0,-1
257,2013-08-01,0.0,-1
258,2013-08-07,0.0,-1
259,2013-08-12,0.5873,1
260,2013-08-14,-0.1027,-1
261,2013-08-16,0.0,-1
262,2013-08-20,0.7906,1
263,2013-08-23,1.6699,1
264,2013-08-24,0.4926,1
265,2013-09-04,0.1531,1
266,2013-09-05,0.4939,1
267,2013-09-06,0.0,-1
268,2013-09-07,-0.34,-1
269,2013-09-10,0.433,1
270,2013-09-13,0.3541,1
271,2013-09-15,0.7251,1
272,2013-09-18,0.536,1
273,2013-09-19,0.765,1
274,2013-09-20,0.9799,1
275,2013-09-25,1.4004,1
276,2013-09-26,0.0,-1
277,2013-09-27,0.0,-1
278,2013-09-29,3.1211,1
279,2013-10-04,-0.34,-1
280,2013-10-12,0.4588,1
281,2013-10-26,0.0,-1
282,2013-10-30,0.5562,1
283,2013-11-02,0.7568,1
284,2013-11-10,-0.4767,-1
285,2013-11-12,0.0,-1
286,2013-11-14,-0.4404,-1
287,2013-11-19,-1.8519999999999999,-1
288,2013-11-21,0.4404,1
289,2013-11-23,1.2618999999999998,1
290,2013-11-24,0.4404,1
291,2013-11-26,0.8617,1
292,2013-11-28,3.1461,1
293,2013-11-29,0.0,-1
294,2013-11-30,0.9107,1
295,2013-12-02,0.9557,1
296,2013-12-03,3.7045,1
297,2013-12-04,0.0,-1
298,2013-12-05,0.7777,1
299,2013-12-10,-0.6114,-1
300,2013-12-19,0.4588,1
301,2013-12-21,0.7397,1
302,2013-12-22,0.8316,1
303,2013-12-25,0.5848,1
304,2013-12-26,0.5256,1
305,2014-01-06,1.3704999999999998,1
306,2014-01-07,-0.2732,-1
307,2014-01-23,0.0,-1
308,2014-01-26,0.5562,1
309,2014-01-30,0.4389,1
310,2014-02-02,-0.3802,-1
311,2014-02-07,0.743,1
312,2014-02-09,1.6854,1
313,2014-02-11,0.0258,1
314,2014-02-14,0.5093,1
315,2014-02-24,0.0,-1
316,2014-02-25,0.4404,1
317,2014-03-05,0.6597,1
318,2014-03-07,0.8461,1
319,2014-03-10,0.7845,1
320,2014-03-11,-0.038500000000000034,-1
321,2014-03-14,2.4979,1
322,2014-03-17,-0.7579,-1
323,2014-03-19,0.2732,1
324,2014-03-25,0.0,-1
325,2014-03-31,0.3382,1
326,2014-04-01,0.0,-1
327,2014-04-05,1.0282,1
328,2014-04-07,2.1629,1
329,2014-04-08,0.1027,1
330,2014-04-17,0.7783,1
331,2014-04-18,3.5326000000000004,1
332,2014-04-19,0.4668,1
333,2014-04-24,0.6808,1
334,2014-04-26,0.3818,1
335,2014-04-29,1.1183999999999998,1
336,2014-05-02,0.0,-1
337,2014-05-08,-0.1531,-1
338,2014-05-10,0.5411,1
339,2014-05-14,0.7506,1
340,2014-05-22,0.7845,1
341,2014-05-23,0.8531,1
342,2014-05-24,1.3587,1
343,2014-05-25,0.8687,1
344,2014-05-29,0.3596,1
345,2014-05-31,0.0,-1
346,2014-06-04,-0.631,-1
347,2014-06-11,0.3182,1
348,2014-06-12,0.3653,1
349,2014-06-17,0.25,1
350,2014-06-19,0.4404,1
351,2014-07-01,0.2023,1
352,2014-07-10,0.1779,1
353,2014-07-14,0.3986,1
354,2014-07-19,-0.0258,-1
355,2014-07-23,0.0,-1
356,2014-07-26,0.0,-1
357,2014-08-03,3.0307,1
358,2014-08-05,1.3689,1
359,2014-08-15,0.6751,1
360,2014-08-19,0.0,-1
361,2014-08-23,0.1857,1
362,2014-08-25,1.5815,1
363,2014-09-01,0.10099999999999999,1
364,2014-09-07,-0.2846,-1
365,2014-09-08,0.5719,1
366,2014-09-09,0.6542,1
367,2014-09-10,0.0,-1
368,2014-09-11,0.0,-1
369,2014-09-16,1.7872,1
370,2014-09-20,1.15,1
371,2014-09-29,0.1531,1
372,2014-10-02,0.8149,1
373,2014-10-09,0.0,-1
374,2014-10-11,0.0,-1
375,2014-10-16,0.0,-1
376,2014-10-17,0.0,-1
377,2014-10-18,0.0,-1
378,2014-10-26,0.0,-1
379,2014-10-28,1.5983999999999998,1
380,2014-10-31,0.3612,1
381,2014-11-04,0.0,-1
382,2014-11-07,0.34,1
383,2014-11-11,0.6142000000000001,1
384,2014-11-18,0.0,-1
385,2014-11-19,-0.22650000000000006,-1
386,2014-11-21,0.2023,1
387,2014-11-22,0.10859999999999996,1
388,2014-11-23,0.08810000000000001,1
389,2014-11-24,0.5093,1
390,2014-12-08,1.3704,1
391,2014-12-19,-0.0635,-1
392,2014-12-20,0.1759,1
393,2014-12-25,0.5848,1
394,2014-12-26,0.6846,1
395,2014-12-30,0.0,-1
396,2014-12-31,0.4767,1
397,2015-01-05,0.6808,1
398,2015-01-06,0.2023,1
399,2015-01-10,2.5402,1
400,2015-01-11,0.7717,1
401,2015-01-12,0.4588,1
402,2015-01-15,1.1457,1
403,2015-01-16,0.28319999999999995,1
404,2015-01-17,0.0,-1
405,2015-01-20,0.0,-1
406,2015-01-23,2.0116,1
407,2015-01-26,0.6277,1
408,2015-01-28,0.34,1
409,2015-01-29,0.26890000000000003,1
410,2015-01-30,0.3182,1
411,2015-02-08,0.5762999999999999,1
412,2015-02-10,0.8017,1
413,2015-02-11,2.5723000000000003,1
414,2015-02-12,0.0,-1
415,2015-02-24,0.6369,1
416,2015-02-26,0.8653,1
417,2015-03-02,0.3669,1
418,2015-03-07,0.0,-1
419,2015-03-08,-0.29600000000000004,-1
420,2015-03-11,-0.2263,-1
421,2015-03-12,0.5628,1
422,2015-03-13,0.6376,1
423,2015-03-14,0.4767,1
424,2015-03-15,0.0,-1
425,2015-03-16,-0.2554,-1
426,2015-03-17,2.1006,1
427,2015-03-18,0.6696,1
