,date,amazon_close,amazon_vol,amazon_intra_perc_change,amazon_intra_returns,amazon_pct_change,amazon_pct_returns,amazon_previous_close,amazon_opening_change,amazon_opening_returns,amazon_target,amazon_intra_target,amazon_open_target
1,2010-03-30,136.58,6192700,-0.6188301163990005,-1,0.010805210183540526,1,135.12,0.4588513913558352,1,1,-1,1
2,2010-03-31,135.77,4600600,0.169117647058816,1,-0.005930590130326596,-1,136.58,-0.42465954019623114,-1,-1,1,-1
3,2010-04-01,131.81,8785800,2.9381443298969137,1,-0.029166973558223508,-1,135.77,0.02209619208956407,1,-1,1,1
4,2010-04-05,131.49,5816500,1.02371095220172,1,-0.0024277368940140986,-1,131.81,0.7890144905545802,1,-1,1,1
5,2010-04-06,135.56,7950300,-3.2995504076811804,-1,0.030952924176743446,1,131.49,-0.19773366795955535,-1,1,-1,-1
6,2010-04-07,134.87,5945400,0.8017063842306585,1,-0.00508999704927704,-1,135.56,0.2950722927117186,1,-1,1,1
7,2010-04-08,140.96,12689100,-4.639596169549402,-1,0.04515459331207827,1,134.87,-0.11863275747015392,-1,1,-1,-1
8,2010-04-09,140.06,6011100,0.46901648664013407,1,-0.006384790011350727,-1,140.96,-0.17026106696935944,-1,-1,1,-1
9,2010-04-12,141.2,5445300,-0.857142857142849,-1,0.008139368841924899,1,140.06,-0.04283878337855367,-1,1,-1,-1
10,2010-04-13,140.16,4785500,0.7576293988529301,1,-0.007365439093484416,-1,141.2,0.021246458923513557,1,-1,1,1
11,2010-04-14,144.28,7900300,-2.8074675787373504,-1,0.0293949771689499,1,140.16,0.12842465753425145,1,1,-1,1
12,2010-04-15,145.82,7829600,-0.8785887236250307,-1,0.01067369004713048,1,144.28,0.18713612420294584,1,1,-1,1
13,2010-04-16,142.17,8396800,1.870513528437333,1,-0.025030859964339625,-1,145.82,-0.6446303662049087,-1,-1,1,-1
14,2010-04-19,142.43,6022000,-0.05619950825431156,-1,0.001828796511219144,1,142.17,0.12660898923824074,1,1,-1,1
15,2010-04-20,144.2,4311700,-0.2572481401654565,-1,0.01242715720002785,1,142.43,0.9829389875728468,1,1,-1,1
16,2010-04-21,146.43,7374400,-0.8679479231246259,-1,0.01546463245492391,1,144.2,0.6726768377253807,1,1,-1,1
