,date,dax_open,dax_high,dax_low,dax_close,dax_vol,dax_perc_change,dax_return
0,2010-04-19,6158.600098,6190.859863000001,6140.379883,6162.439941,133583500,0.062349282936015465,1
1,2010-04-20,6193.5,6267.540039,6172.569824,6264.22998,133489200,1.1420033906514906,1
2,2010-04-21,6280.540039,6281.379883,6229.180176,6230.379883,149364800,-0.7986599191872586,-1
3,2010-04-22,6229.22998,6286.359863000001,6141.069824,6168.720215,174052000,-0.9713843475722788,-1
4,2010-04-23,6192.620117,6287.540039,6170.390136999999,6259.529785,124506000,1.0804742860993313,1
5,2010-04-26,6317.129883,6341.52002,6299.580078,6332.100098,115432400,0.23697810995285312,1
6,2010-04-27,6332.399902,6333.0,6159.509765999999,6159.509765999999,159970800,-2.7302466470160223,-1
7,2010-04-28,6141.009765999999,6159.02002,6024.009765999999,6084.339844,241133300,-0.922811136268744,-1
8,2010-04-29,6110.560059,6159.410156,6073.370117,6144.910156,194408800,0.5621431860309868,1
9,2010-04-30,6155.569824,6205.720215,6085.620117,6135.700195,196569400,-0.3227910586365205,-1
10,2010-05-03,6122.759765999999,6190.069824,6089.930176,6166.919922,112972200,0.7212459362724706,1
11,2010-05-04,6176.240234000001,6197.0,5995.430176,6006.859863000001,229250500,-2.7424511447525437,-1
12,2010-05-05,6021.060059,6031.089844,5929.350098,5958.450195,235306400,-1.039847857129638,-1
13,2010-05-06,5919.939941,6009.47998,5884.390136999999,5908.259765999999,283585200,-0.19730225502975957,-1
14,2010-05-07,5790.669922,5905.350098,5655.180176,5715.089844,321885400,-1.3052043894412801,-1
15,2010-05-10,5814.410156,6017.910156,5805.97998,6017.910156,280850400,3.499925091971788,1
16,2010-05-11,5922.029785,6042.109863000001,5918.140136999999,6037.709961,169545500,1.9533872709152518,1
17,2010-05-12,6026.060059,6217.240234000001,6006.310059,6183.490234000001,186580700,2.612489312397017,1
18,2010-05-13,6240.669922,6276.799805,6196.890136999999,6251.970215,120538700,0.1810749990183544,1
19,2010-05-14,6226.490234000001,6233.709961,6014.779785,6056.709961,173391100,-2.726741175516653,-1
20,2010-05-17,6029.910156,6151.540039,6026.319824,6066.919922,144988000,0.6137697750467135,1
21,2010-05-18,6144.080078,6181.259765999999,6113.870117,6155.930176,122109600,0.19287017502313042,1
22,2010-05-19,6091.850098,6124.810059,5972.169922,5988.669922,185439300,-1.6937412172022204,-1
23,2010-05-20,6023.109863000001,6043.839844,5780.72998,5867.879883,192604600,-2.577239723843984,-1
24,2010-05-21,5835.220215,5872.649902,5689.180176,5829.25,341947100,-0.1023134479938437,-1
25,2010-05-24,5858.450195,5872.069824,5733.569824,5805.680176,91354000,-0.9007504927674903,-1
26,2010-05-25,5659.589844,5690.25,5607.680176,5670.040039,193420800,0.18464580098642833,1
27,2010-05-26,5735.459961,5828.370117,5721.02002,5758.02002,172251000,0.39334350084220504,1
28,2010-05-27,5802.640136999999,5952.209961,5802.359863000001,5937.140136999999,180623000,2.317910413612817,1
29,2010-05-28,5962.839844,5980.779785,5927.310059,5946.180176,104018000,-0.27939150532046786,-1
30,2010-05-31,5933.580078,5993.939941,5931.200195,5964.330078,45852600,0.5182368754744225,1
31,2010-06-01,5943.939941,6012.040039,5833.609863000001,5981.27002,127463800,0.6280359386289481,1
32,2010-06-02,5923.47998,5992.209961,5869.350098,5981.200195,99316200,0.9744308277378575,1
33,2010-06-03,6075.680176,6101.830078,6046.379883,6054.629883,102491100,-0.34646808900759096,-1
