,date,apple_close,apple_vol,apple_intra_perc_change,apple_intra_returns,apple_pct_change,apple_pct_returns,apple_opening_change,apple_target,apple_intra_target,apple_open_target
1,2010-03-30,33.69,131326339,0.32544378698224685,1,0.003574620196604039,1,1.807228915662633,1,1,1
2,2010-03-31,33.57,107438412,0.2080856123662315,1,-0.004153070305547346,-1,-0.14841199168892003,-1,1,-1
3,2010-04-01,33.71,150568295,0.6483937518420244,1,-0.010566480774875209,-1,1.0723860589812315,-1,1,1
4,2010-04-05,34.07,170363601,-1.4894250819183794,-1,-0.0043834015195791665,-1,-0.4153070305547332,-1,-1,-1
5,2010-04-06,34.22,111431983,-0.5583308845136578,-1,-0.004364271166715117,-1,-0.11740534194305591,-1,-1,-1
6,2010-04-07,34.37,156909177,-0.35036496350364216,-1,0.002625437572928657,1,0.0876680303915872,1,-1,1
7,2010-04-08,34.28,142899723,0.2037845705967985,1,-0.007527504342790925,-1,-0.0581902822228572,-1,1,-1
8,2010-04-09,34.54,83443105,-0.1449695563931492,-1,-0.0020225368390638376,-1,0.6126021003500608,-1,-1,1
9,2010-04-12,34.61,83236885,-0.028901734104040493,-1,-0.0005775339301185012,-1,0.17371163867979814,-1,-1,1
10,2010-04-13,34.63,76184103,-0.2315484804631126,-1,-0.01339031339031338,-1,-0.17336030049119408,-1,-1,-1
11,2010-04-14,35.1,100827750,-0.17123287671233525,-1,-0.012935883014623228,-1,1.1839445567426987,-1,-1,1
12,2010-04-15,35.56,93876048,-1.2816861293078976,-1,0.006225240520656428,1,0.02849002849002282,1,-1,1
13,2010-04-16,35.34,187514026,0.4787383835539133,1,0.0011331444759208331,1,-0.140607424072003,1,1,-1
14,2010-04-19,35.3,141571402,-0.028336639274576397,-1,0.01030337721808805,1,-0.14148273910584114,1,-1,-1
15,2010-04-20,34.94,177792843,1.6051816389749376,1,-0.05644072373751019,-1,0.5949008498583594,-1,1,1
16,2010-04-21,37.03,245072944,-0.16229375169056606,-1,-0.02731809824008402,-1,5.809959931310822,-1,-1,1
17,2010-04-22,38.07,197849809,-3.1986988343724576,-1,-0.0160248126130782,-1,-0.3780718336483947,-1,-1,-1
18,2010-04-23,38.69,198906390,-1.0710553814002,-1,0.004935064935064792,1,0.5516154452324687,1,-1,1
19,2010-04-26,38.5,119378876,0.8753861997940355,1,0.028586695164306786,1,0.38769707934868364,1,1,1
20,2010-04-27,37.43,176955713,1.964379256155055,1,0.001605565962001565,1,-0.8311688311688319,1,1,-1
21,2010-04-28,37.37,189375537,0.6381281574049508,1,-0.026315789473684292,-1,0.4808976756612336,-1,1,1
22,2010-04-29,38.38,139522502,-2.1559755123769024,-1,0.02895442359249345,1,0.5351886540005428,1,-1,1
23,2010-04-30,37.3,135421971,3.0413309072004204,1,-0.019710906701708275,-1,0.23449713392390908,-1,1,1
24,2010-05-03,38.05,113343684,-0.9551605200318373,-1,0.029769959404600588,1,1.045576407506704,1,-1,1
25,2010-05-04,36.95,180620564,1.624068157614482,1,0.01039103089964466,1,-1.2877792378449275,1,1,-1
26,2010-05-05,36.57,220353346,-1.1618257261410836,-1,0.0395110858442298,1,-2.165087956698252,1,-1,-1
27,2010-05-06,35.18,319584886,2.9784886927744023,1,0.044226773523300844,1,-0.8476893628657431,1,1,-1
28,2010-05-07,33.69,418562326,3.245261344055148,1,-0.07138919514884245,-1,-1.0233086981239325,-1,1,-1
29,2010-05-10,36.28,245539284,-1.4825174825174858,-1,-0.010095497953615196,-1,6.11457405758386,-1,-1,1
30,2010-05-11,36.65,212068004,-1.8621456364647075,-1,-0.021100427350427275,-1,-0.8269018743109268,-1,-1,-1
31,2010-05-12,37.44,163385299,-1.0799136069114432,-1,0.014359252235166764,1,1.0641200545702607,1,-1,1
32,2010-05-13,36.91,149704075,1.8351063829787362,1,0.017926089354660668,1,0.42735042735043727,1,1,1
33,2010-05-14,36.26,189368537,0.5212620027434974,1,-0.0016519823788546661,-1,-1.2462747222974635,-1,1,-1
34,2010-05-17,36.32,190413707,0.19236053860950889,1,0.007489597780860002,1,0.35852178709322274,1,1,1
35,2010-05-18,36.05,194856888,1.7978752383546817,1,0.016065388951522097,1,1.0737885462555081,1,1,1
36,2010-05-19,35.48,256089547,0.44893378226712594,1,0.044450986164262574,1,-1.137309292649089,1,1,-1
