,date,ftse_open,ftse_high,ftse_low,ftse_close,ftse_vol,ftse_perc_change,ftse_return
0,2019-02-08,7093.600098000001,7115.799805,7064.899901999999,7071.200195,532300500,-0.31577623055345294,-1
1,2019-02-11,7071.200195,7149.200195,7071.200195,7129.100098000001,548318300,0.8188129511725759,1
2,2019-02-12,7129.100098000001,7168.600098000001,7121.700195,7133.100098000001,526735100,0.056108063360229166,1
3,2019-02-13,7133.100098000001,7205.100098000001,7133.100098000001,7190.799805,561646800,0.8089008454567581,1
4,2019-02-14,7190.799805,7232.799805,7183.0,7197.0,519107200,0.08622399688681569,1
5,2019-02-15,7197.0,7261.600098000001,7185.200195,7236.700195,688422300,0.5516214394886807,1
6,2019-02-18,7236.700195,7242.100098000001,7209.700195,7219.5,440062500,-0.23768008258631956,-1
7,2019-02-19,7219.5,7219.5,7162.799805,7179.200195,624124300,-0.5582077013643555,-1
8,2019-02-20,7179.200195,7234.200195,7178.0,7228.600098000001,861254900,0.6880975827140929,1
9,2019-02-21,7228.600098000001,7228.799805,7141.899901999999,7167.399901999999,798796000,-0.846639669787991,-1
10,2019-02-22,7167.399901999999,7220.5,7162.399901999999,7178.600098000001,646718000,0.15626581679747326,1
11,2019-02-25,7178.600098000001,7210.700195,7158.200195,7183.700195,644937500,0.07104584362375148,1
12,2019-02-26,7183.700195,7183.799805,7091.600098000001,7151.100098000001,865719700,-0.45380648015753594,-1
13,2019-02-27,7151.100098000001,7151.100098000001,7082.600098000001,7107.200195,870721000,-0.6138902042816916,-1
14,2019-02-28,7107.200195,7107.200195,7041.0,7074.700195,979616900,-0.4572827429690828,-1
15,2019-03-01,7074.700195,7129.700195,7074.700195,7106.700195,700825200,0.45231598679779816,1
16,2019-03-04,7106.700195,7166.200195,7106.700195,7134.399901999999,634698800,0.38976889751853183,1
17,2019-03-05,7134.399901999999,7191.700195,7127.200195,7183.399901999999,795291200,0.6868131962474341,1
18,2019-03-06,7183.399901999999,7211.799805,7170.299805,7196.0,791979200,0.17540577124896922,1
19,2019-03-07,7196.0,7196.0,7126.600098000001,7157.600098000001,691317400,-0.533628432462468,-1
20,2019-03-08,7157.600098000001,7157.600098000001,7077.899901999999,7104.299805,622101900,-0.7446670988910722,-1
21,2019-03-11,7104.299805,7181.600098000001,7104.299805,7130.600098000001,674285200,0.37020246501268184,1
22,2019-03-12,7130.600098000001,7166.600098000001,7083.200195,7151.200195,752033900,0.28889710146243497,1
23,2019-03-13,7151.200195,7181.899901999999,7128.700195,7159.200195,744627600,0.11186933356436402,1
24,2019-03-14,7159.200195,7215.5,7148.100098000001,7185.399901999999,791259700,0.3659585747901949,1
25,2019-03-15,7185.399901999999,7243.799805,7185.399901999999,7228.299805,1335709200,0.5970426640841465,1
26,2019-03-18,7228.299805,7299.200195,7228.200195,7299.200195,642988100,0.9808722924159439,1
27,2019-03-19,7299.200195,7350.100098000001,7294.5,7324.0,598904100,0.33976058112487006,1
28,2019-03-20,7324.0,7341.600098000001,7291.0,7291.0,748851100,-0.45057345712725283,-1
29,2019-03-21,7291.0,7370.600098000001,7290.600098000001,7355.299805,709429100,0.8819065285968954,1
30,2019-03-22,7355.299805,7356.399901999999,7192.799805,7207.600098000001,694767600,-2.008071878995269,-1
