,date,cloudera_close,cloudera_vol,cloudera_intra_perc_change,cloudera_intra_returns,cloudera_pct_change,cloudera_pct_returns,cloudera_previous_close,cloudera_opening_change,cloudera_opening_returns,cloudera_target,cloudera_intra_target,cloudera_open_target
0,2017-04-28,18.1,14871500,-1.68539325842697,-1,,-1,,,-1,-1,-1,-1
1,2017-05-01,18.19,1728700,4.1117554032683055,1,0.004972375690607711,1,18.1,4.80662983425413,1,1,1,1
2,2017-05-02,18.39,720200,-0.10887316276537601,-1,0.010995052226498103,1,18.19,0.9895547003848253,1,1,-1,1
3,2017-05-03,20.12,1520100,-9.88530857454944,-1,0.09407286568787376,1,18.39,-0.4350190320826636,-1,1,-1,-1
4,2017-05-04,19.58,3256400,7.203791469194328,1,-0.026838966202783476,-1,20.12,4.870775347912526,1,-1,1,1
5,2017-05-05,19.97,1055100,0.3990024937655952,1,0.019918283963227923,1,19.58,2.4004085801838735,1,1,1,1
6,2017-05-08,19.59,781600,3.3070088845014887,1,-0.019028542814221283,-1,19.97,1.4521782674011152,1,-1,1,1
7,2017-05-09,20.05,624300,-2.0356234096692223,-1,0.023481368044920847,1,19.59,0.30627871362939624,1,1,-1,1
8,2017-05-10,19.99,730900,0.8924144769459754,1,-0.0029925187032420197,-1,20.05,0.598503740648384,1,-1,1,1
9,2017-05-11,19.94,494600,0.3498250874562733,1,-0.002501250625312479,-1,19.99,0.1000500250125219,1,-1,1,1
10,2017-05-12,20.8,672500,-4.627766599597594,-1,0.04312938816449341,1,19.94,-0.3009027081243845,-1,1,-1,-1
11,2017-05-15,21.35,1189500,-1.6666666666666736,-1,0.02644230769230771,1,20.8,0.9615384615384581,1,1,-1,1
12,2017-05-16,20.97,1445800,3.1408775981524237,1,-0.01779859484777524,-1,21.35,1.4051522248243427,1,-1,1,1
13,2017-05-17,20.1,985700,3.318903318903308,1,-0.04148783977110149,-1,20.97,-0.8583690987124449,-1,-1,1,-1
14,2017-05-18,20.11,687000,-0.04975124378108463,-1,0.0004975124378108209,1,20.1,0.0,-1,1,-1,-1
15,2017-05-19,20.01,689800,0.5467196819085459,1,-0.00497265042267514,-1,20.11,0.04972650422676063,1,-1,1,1
16,2017-05-22,20.91,726000,-4.445554445554448,-1,0.044977511244377766,1,20.01,0.04997501249374318,1,1,-1,1
17,2017-05-23,21.59,912800,-2.614068441064642,-1,0.03252032520325199,1,20.91,0.6217120994739311,1,1,-1,1
18,2017-05-24,22.55,1185400,-4.640371229698376,-1,0.0444650301065308,1,21.59,-0.18527095877720773,-1,1,-1,-1
19,2017-05-25,22.36,590900,1.193106495802031,1,-0.00842572062084268,-1,22.55,0.35476718403546914,1,-1,1,1
20,2017-05-26,22.29,267900,0.4466279589102341,1,-0.0031305903398927137,-1,22.36,0.13416815742397648,1,-1,1,1
21,2017-05-30,21.51,446800,3.93032603841,1,-0.03499327052489898,-1,22.29,0.4486316733961482,1,-1,1,1
22,2017-05-31,20.75,679300,3.712296983758704,1,-0.03533240353324041,-1,21.51,0.1859600185959979,1,-1,1,1
