,date,tsla_close,tsla_vol,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target
0,2010-06-29,23.889999,18766300,-25.73683684210526,-1,,-1,,,-1,-1,0,-1
1,2010-06-30,23.83,17187100,7.599848483914375,1,-0.002511469339115502,-1,23.889999,7.953127164216292,1,-1,1,1
2,2010-07-01,21.959999,8218800,12.160004,1,-0.07847255560218203,-1,23.83,4.9097775912715145,1,-1,1,1
3,2010-07-02,19.200001,5139800,16.521734782608693,1,-0.12568297475787682,-1,21.959999,4.735888193801832,1,-1,1,1
4,2010-07-06,16.110001,6866900,19.449994999999998,1,-0.160937491617839,-1,19.200001,4.1666612413197255,1,-1,1,1
5,2010-07-07,15.8,6921700,3.658536585365841,1,-0.019242767272329764,-1,16.110001,1.8001178274290492,1,-1,1,1
6,2010-07-08,17.459999,7711400,-8.1784391684287,-1,0.10506322784810118,1,15.8,2.1518924050632835,1,1,0,1
7,2010-07-09,17.4,4050600,1.0238907849829335,1,-0.0034363690398837576,-1,17.459999,0.6872909901082954,1,-1,1,1
8,2010-07-12,17.049999,2202500,5.013938439334909,1,-0.020114999999999883,-1,17.4,3.1609252873563323,1,-1,1,1
9,2010-07-13,18.139999,2680100,-4.312823709765596,-1,0.06392962251786649,1,17.049999,1.9941350143187684,1,1,0,1
10,2010-07-14,19.84,4195200,-10.59085225246084,-1,0.09371560604826934,1,18.139999,-1.1025248678348727,-1,1,0,-1
11,2010-07-15,19.889999,3739800,0.25076227428475434,1,0.0025201108870966937,1,19.84,0.5040372983871091,1,1,1,1
12,2010-07-16,20.639999,2621300,0.28986472029639404,1,0.037707392544363616,1,19.889999,4.0724084500959545,1,1,1,1
13,2010-07-19,21.91,2486500,-2.526902081099566,-1,0.061531059182706294,1,20.639999,3.5368315667069683,1,1,0,1
14,2010-07-20,20.299999,1825300,7.09382608695653,1,-0.0734824737562757,-1,21.91,-0.27384755819260026,-1,-1,1,-1
15,2010-07-21,20.219998999999998,1252500,2.129724104549866,1,-0.003940886893639806,-1,20.299999,1.7734040282465062,1,-1,1,1
16,2010-07-22,21.0,957800,-2.4390243902439024,-1,0.0385757190195708,1,20.219998999999998,1.3847725709581005,1,1,0,1
17,2010-07-23,21.290001,653600,-0.47192069504856493,-1,0.013809571428571532,1,21.0,0.9047666666666777,1,1,0,1
18,2010-07-26,20.950001,922200,2.558134883720929,1,-0.015969938188354238,-1,21.290001,0.9863738381224116,1,-1,1,1
19,2010-07-27,20.549999,619700,1.7216690578670515,1,-0.019093173312974998,-1,20.950001,-0.19093555174532056,-1,-1,1,-1
20,2010-07-28,20.719998999999998,467200,-0.827250648528003,-1,0.008272506485279996,1,20.549999,0.0,-1,1,0,-1
21,2010-07-29,20.35,616000,2.0221473278767363,1,-0.017857095456423333,-1,20.719998999999998,0.2413175792141773,1,-1,1,1
22,2010-07-30,19.940001000000002,426900,1.2871286491520373,1,-0.020147371007370962,-1,20.35,-0.7370958230958286,-1,-1,1,-1
23,2010-08-02,20.92,718100,-2.0487804878048865,-1,0.0491473897117658,1,19.940001000000002,2.8084201199387984,1,1,0,1
24,2010-08-03,21.950001,1230500,-4.523814285714288,-1,0.04923522944550651,1,20.92,0.3824091778202595,1,1,0,1
25,2010-08-04,21.26,913000,3.1435123852613893,1,-0.03143512385261393,-1,21.950001,0.0,-1,-1,1,-1
26,2010-08-05,20.450001,796200,5.060352597012414,1,-0.03809967074317977,-1,21.26,1.317031984948253,1,-1,1,1
27,2010-08-06,19.59,741900,2.537313432835828,1,-0.04205383657438455,-1,20.450001,-1.711496248826584,-1,-1,1,-1
28,2010-08-09,19.6,812700,1.507537688442197,1,0.0005104645227158588,1,19.59,1.5824400204185745,1,1,1,1
29,2010-08-10,19.030001000000002,1281300,3.155211195928735,1,-0.029081581632653064,-1,19.6,0.25510204081631205,1,-1,1,1
30,2010-08-11,17.9,797600,4.2268644073373975,1,-0.059379975860222145,-1,19.030001000000002,-1.7866525598185716,-1,-1,1,-1
31,2010-08-12,17.6,691000,1.1235899507634706,1,-0.016759776536312665,-1,17.9,-0.5586648044692676,-1,-1,1,-1
