,date,tsla_close,tsla_vol,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target,em_tweets3_compound,em_tweets3_sentiment,tsla_compound,tsla_sentiment
1102,2014-11-12,249.100006,5870800,0.2482760682032676,1,-0.007885916776438462,-1,251.080002,-0.5416604226409236,-1,-1,1,-1,0.0,0.0,0.0,0.0
1103,2014-11-13,251.699997,6236000,-0.43093209701804014,-1,0.010437538889501273,1,249.100006,0.6101922775545857,1,1,-1,1,0.0,0.0,0.0,-1.0
1104,2014-11-14,258.679993,6101100,-3.4719972000000094,-1,0.02773141073974661,1,251.699997,-0.6754060469853818,-1,1,-1,-1,0.0,0.0,0.0,-1.0
1105,2014-11-17,253.979996,4025700,1.3631574571112368,1,-0.018169155432132825,-1,258.679993,-0.4600290057994732,-1,-1,1,-1,0.0,0.0,0.0,0.0
1106,2014-11-18,257.700012,4473000,-0.7191475778975052,-1,0.014646885812219734,1,253.979996,0.7402177453377009,1,1,-1,1,0.0,-1.0,0.0,0.0
1107,2014-11-19,247.740005,7918500,1.1452040974214812,1,-0.03864961791309518,-1,257.700012,-2.751265296797903,-1,-1,1,-1,-0.10329999999999996,-1.0,-0.4404,-1.0
1108,2014-11-20,248.710007,3587200,-0.3065174467414757,-1,0.003915403166315556,1,247.740005,0.08476305633402106,1,1,-1,1,0.0,0.0,0.0,0.0
1109,2014-11-21,242.77999900000003,7485100,3.738950770498158,1,-0.023843061529888358,-1,248.710007,1.4072614295732782,1,-1,1,1,0.2023,1.0,0.0,0.0
1110,2014-11-24,246.720001,4789700,-0.6199037596235955,-1,0.016228692710390513,1,242.77999900000003,0.9967863950769652,1,1,-1,1,0.5093,1.0,0.0,-1.0
1111,2014-11-25,248.089996,3159800,-0.299167164766504,-1,0.005552833148699587,1,246.720001,0.255352220106403,1,1,-1,1,0.0,0.0,0.0,0.0
1112,2014-11-26,248.440002,1981200,-0.04026979206362216,-1,0.001410802554085988,1,248.089996,0.10076988352242952,1,1,-1,1,0.0,0.0,0.0,0.0
1113,2014-11-28,244.520004,2119700,0.33829304247092923,1,-0.01577844939801598,-1,248.440002,-1.2437594490117518,-1,-1,1,-1,0.0,0.0,0.0,-1.0
1114,2014-12-01,231.639999,8619400,3.947588672290782,1,-0.05267464742884587,-1,244.520004,-1.3741207038422858,-1,-1,1,-1,0.0,0.0,-0.4588,-1.0
1115,2014-12-02,231.429993,5887000,1.3386255302451993,1,-0.0009066050807572391,-1,231.639999,1.2648972598208126,1,-1,1,1,0.0,0.0,0.4404,1.0
1116,2014-12-03,229.300003,5307700,-1.3480676243093814,-1,-0.00920360395983788,-1,231.429993,-2.238254831559375,-1,-1,-1,-1,0.0,0.0,-0.2732,-1.0
1117,2014-12-04,228.27999900000003,3855600,0.13998556063028952,1,-0.004448338363083004,-1,229.300003,-0.3052756174625815,-1,-1,1,-1,0.0,0.0,0.0,0.0
1118,2014-12-05,223.710007,6063600,2.1690606740635916,1,-0.020019239618097373,-1,228.27999900000003,0.17084238729121445,1,-1,1,1,0.0,0.0,0.0,0.0
1119,2014-12-08,214.360001,9225600,3.2409462069451385,1,-0.041795206774098426,-1,223.710007,-0.970012038844548,-1,-1,1,-1,1.3704,1.0,0.0,-1.0
1120,2014-12-09,216.889999,9431500,-3.6065745410638255,-1,0.011802565722137892,1,214.360001,-2.341857145260975,-1,1,-1,-1,0.0,0.0,-0.3818,-1.0
1121,2014-12-10,209.839996,7314100,2.0034600008532197,1,-0.03250497041129141,-1,216.889999,-1.2725317039630002,-1,-1,1,-1,0.0,0.0,0.0,0.0
1122,2014-12-11,208.880005,6694400,0.7837334383875719,1,-0.004574871417744264,-1,209.839996,0.3288233955170525,1,-1,1,1,0.0,0.0,0.0,0.0
1123,2014-12-12,207.0,7173800,-1.0643457306394857,-1,-0.009000406716765497,-1,208.880005,-1.9436987278892528,-1,-1,-1,-1,0.0,0.0,0.0,-1.0
1124,2014-12-15,204.039993,5218300,2.5084811388951604,1,-0.014299550724637731,-1,207.0,1.106276811594194,1,-1,1,1,0.0,0.0,0.0,0.0
1125,2014-12-16,197.809998,8426100,1.5331778661614617,1,-0.030533205321174317,-1,204.039993,-1.5438120506110744,-1,-1,1,-1,0.0,0.0,0.0,-1.0
1126,2014-12-17,205.820007,7367800,-6.609348975544896,-1,0.04049344866784743,1,197.809998,-2.4012941954531546,-1,1,-1,-1,0.0,0.0,0.0772,1.0
1127,2014-12-18,218.25999500000003,7483300,-2.7686175070953833,-1,0.06044110182155426,1,205.820007,3.187249915893734,1,1,-1,1,0.0,0.0,0.0,0.0
1128,2014-12-19,219.289993,6910500,0.4087419918366607,1,0.0047191332520646325,1,218.25999500000003,0.8842696986224894,1,1,1,1,-0.5223,-1.0,-0.14359999999999998,-1.0
1129,2014-12-22,222.600006,4799400,-1.1818209090909126,-1,0.015094227304754291,1,219.289993,0.32377537628905395,1,1,-1,1,0.0,0.0,0.0,0.0
1130,2014-12-23,220.970001,4505700,1.2689321412710255,1,-0.0073225739266153935,-1,222.600006,0.5435723123924802,1,-1,1,1,0.0,0.0,0.2732,1.0
1131,2014-12-24,222.25999500000003,1332200,-1.1329985688128903,-1,0.005837869367616433,1,220.970001,-0.5430587838029507,-1,1,-1,-1,0.0,0.0,0.0,0.0
1132,2014-12-26,227.820007,3327000,-2.8486353403601234,-1,0.02501580187653629,1,222.25999500000003,-0.33744264234326105,-1,1,-1,-1,0.6846,1.0,0.4019,1.0
1133,2014-12-29,225.710007,2802500,0.5244543990600555,1,-0.009261697547046309,-1,227.820007,-0.4038332770308374,-1,-1,1,-1,0.0,0.0,0.0,0.0
1134,2014-12-30,222.229996,2903200,0.7857533643074692,1,-0.015418062523032015,-1,225.710007,-0.7620406480249776,-1,-1,1,-1,0.0,-1.0,0.128,1.0
1135,2014-12-31,222.410004,2297500,0.3048061375194835,1,0.0008100076643120513,1,222.229996,0.3869864624395643,1,1,1,1,0.4767,1.0,-0.34,-1.0
1136,2015-01-02,219.309998,4764400,1.5973424327487464,1,-0.013938248928766715,-1,222.410004,0.20682118237811026,1,-1,1,1,0.0,0.0,0.0,-1.0
1137,2015-01-05,210.089996,5368500,2.0787727511707335,1,-0.04204095610816627,-1,219.309998,-2.1704414041351785,-1,-1,1,-1,0.3818,1.0,0.0,0.0
1138,2015-01-06,211.27999900000003,6261900,-0.5807869235531578,-1,0.005664253523047558,1,210.089996,-0.014278642758400437,-1,1,-1,-1,-0.29600000000000004,-1.0,-0.29600000000000004,-1.0
1139,2015-01-07,210.949997,2968400,1.1249163030255471,1,-0.0015619178415463564,-1,211.27999900000003,0.9797458395481984,1,-1,1,1,0.0,0.0,0.0,-1.0
1140,2015-01-08,210.619995,3442500,1.0290883983749626,1,-0.0015643612452860278,-1,210.949997,0.8817260139614899,1,-1,1,1,0.0,0.0,0.0,-1.0
1141,2015-01-09,206.660004,4668300,1.0817509197946562,1,-0.018801590988547945,-1,210.619995,-0.8071394171289504,-1,-1,1,-1,0.0,0.0,0.0,0.0
1142,2015-01-12,202.210007,5950300,0.4136892329915332,1,-0.02153293774251541,-1,206.660004,-1.7468309929965988,-1,-1,1,-1,0.0,-1.0,0.34,1.0
1143,2015-01-13,204.25,4477300,-0.4574035844883657,-1,0.01008848686702235,1,202.210007,0.5489342572447392,1,1,-1,1,0.0,0.0,-0.7998999999999999,-1.0
1144,2015-01-14,192.690002,11551900,-3.6915459969698463,-1,-0.056597297429620615,-1,204.25,-9.018358873929003,-1,-1,-1,-1,0.0,0.0,-0.5267,-1.0
1145,2015-01-15,191.869995,5216500,1.347118069126487,1,-0.0042555762701170785,-1,192.690002,0.9341444710763998,1,-1,1,1,1.1457,1.0,0.4019,1.0
1146,2015-01-16,193.070007,3603200,-1.2427949854661025,-1,0.006254297343365245,1,191.869995,-0.6097868507267082,-1,1,-1,-1,0.28319999999999995,1.0,0.0,0.0
1147,2015-01-20,191.929993,4503200,1.000671609858964,1,-0.005904666487115295,-1,193.070007,0.4143512565366949,1,-1,1,1,0.0,-1.0,0.0,-1.0
1148,2015-01-21,196.570007,4153000,-3.7035103607990982,-1,0.024175554468967242,1,191.929993,-1.2400302645767265,-1,1,-1,-1,0.0,0.0,0.3182,1.0
1149,2015-01-22,201.619995,4116900,-2.3451751269035475,-1,0.02569053171982638,1,196.570007,0.2187480209022916,1,1,-1,1,0.0,0.0,0.0,0.0
1150,2015-01-23,201.289993,3438600,-0.4992760671772554,-1,-0.0016367523469088539,-1,201.619995,-0.6596577884053649,-1,-1,-1,-1,2.0116,1.0,0.0,0.0
1151,2015-01-26,206.550003,3234500,-2.3386022658811627,-1,0.026131502722045445,1,201.289993,0.26827414117900344,1,1,-1,1,0.6277,1.0,0.0,-1.0
1152,2015-01-27,205.979996,2781000,-0.7631337517183654,-1,-0.0027596562174826427,-1,206.550003,-1.0312297114805709,-1,-1,-1,-1,0.0,0.0,0.0,0.0
1153,2015-01-28,199.369995,3149600,3.270101386298097,1,-0.032090499700757384,-1,205.979996,0.06311535223061722,1,-1,1,1,0.34,1.0,0.0,0.0
1154,2015-01-29,205.199997,3548100,-2.0540059960310204,-1,0.029242123419825683,1,199.369995,0.8526920011208383,1,1,-1,1,-0.23109999999999994,-1.0,0.0,-1.0
1155,2015-01-30,203.600006,3007000,0.1765056813319344,1,-0.007797227209511037,-1,205.199997,-0.6042836345655392,-1,-1,1,-1,0.3182,1.0,0.0,0.0
1156,2015-02-02,210.940002,4149200,-3.4171696650626564,-1,0.0360510598413244,1,203.600006,0.18172641900609213,1,1,-1,1,0.0,0.0,0.7184,1.0
1157,2015-02-03,218.360001,4826200,-2.410655649513864,-1,0.035175874322784795,1,210.940002,1.0808755941890886,1,1,-1,1,0.0,0.0,0.0,-1.0
1158,2015-02-04,218.550003,3305400,-0.11911219402529627,-1,0.0008701318883030941,1,218.360001,-0.03206081685261257,-1,1,-1,-1,0.0,0.0,0.0,0.0
1159,2015-02-05,220.990005,3522900,-0.5048207998721781,-1,0.011164502248943052,1,218.550003,0.6085573011865882,1,1,-1,1,0.0,0.0,0.0,0.0
1160,2015-02-06,217.360001,3243900,2.090089639639648,1,-0.016426100356891626,-1,220.990005,0.4570319820573026,1,-1,1,1,0.0,0.0,-0.2732,-1.0
1161,2015-02-09,217.479996,3472400,-0.975016692009092,-1,0.0005520564935956873,1,217.360001,-0.9109293296331924,-1,1,-1,-1,0.0,0.0,0.0,0.0
1162,2015-02-10,216.289993,5390500,0.5791817893010858,1,-0.005471781413863841,-1,217.479996,0.03219008703677533,1,-1,1,1,0.5458999999999999,1.0,0.01960000000000001,1.0
1163,2015-02-11,212.800003,9769100,-0.2780245891043136,-1,-0.01613569796546266,-1,216.289993,-1.8863498691777287,-1,-1,-1,-1,2.2059,1.0,-0.14289999999999994,-1.0
1164,2015-02-12,202.880005,15649600,-4.809628384215539,-1,-0.04661653129769916,-1,212.800003,-9.036652128242672,-1,-1,-1,-1,0.0,-1.0,-0.9062,-1.0
1165,2015-02-13,203.770004,6191000,-0.42878759276848855,-1,0.004386824615860929,1,202.880005,0.009852621996919391,1,1,-1,1,0.0,0.0,0.0,-1.0
1166,2015-02-17,204.350006,3979600,0.6562912103494045,1,0.002846356130022043,1,203.770004,0.947142838550465,1,1,1,1,0.0,0.0,-0.128,-1.0
1167,2015-02-18,204.460007,2713600,-0.14204290681338316,-1,0.0005382970235880967,1,204.350006,-0.08808808158293621,-1,1,-1,-1,0.0,0.0,0.0,0.0
1168,2015-02-19,211.710007,5154100,-3.2731741463414585,-1,0.0354592573206749,1,204.460007,0.2641069067360353,1,1,-1,1,0.0,0.0,0.0,-1.0
1169,2015-02-20,217.110001,5982100,-3.0031321899759327,-1,0.0255065600182045,1,211.710007,-0.4392839116008145,-1,1,-1,-1,0.0,0.0,0.0,0.0
1170,2015-02-23,207.339996,8499800,3.857928148791108,1,-0.045000253120536786,-1,217.110001,-0.6678628314316888,-1,-1,1,-1,0.0,0.0,0.0,-1.0
1171,2015-02-24,204.110001,6603600,1.5340788785689092,1,-0.01557825341136776,-1,207.339996,-0.02411642758978533,-1,-1,1,-1,0.6369,1.0,0.5859,1.0
1172,2015-02-25,203.759995,3909500,0.5757816865835638,1,-0.001714791035643648,-1,204.110001,0.4066439644963705,1,-1,1,1,0.0,0.0,0.0,0.0
1173,2015-02-26,207.190002,6472900,-1.5637264705882317,-1,0.016833564409932222,1,203.759995,0.11778808691077775,1,1,-1,1,0.8653,1.0,0.0,-1.0
1174,2015-02-27,203.339996,3882100,1.7206370726139353,1,-0.01858200667424104,-1,207.190002,-0.13997200501981766,-1,-1,1,-1,0.0,0.0,0.0,0.0
1175,2015-03-02,197.330002,7922100,2.64923289564725,1,-0.02955637906081188,-1,203.339996,-0.3147432932968037,-1,-1,1,-1,-0.09189999999999998,-1.0,-0.29600000000000004,-1.0
1176,2015-03-03,199.559998,4432300,-1.397286737434955,-1,0.011300846183541768,1,197.330002,-0.26351998922089914,-1,1,-1,-1,0.0,0.0,0.0,-1.0
1177,2015-03-04,202.440002,4222000,-1.6010047678795447,-1,0.014431770038402012,1,199.559998,-0.1553407512060645,-1,1,-1,-1,0.0,0.0,0.0,-1.0
1178,2015-03-05,200.630005,4877000,1.0944051931652377,1,-0.00894090585910967,-1,202.440002,0.20253111833105736,1,-1,1,1,0.0,0.0,0.0,0.0
1179,2015-03-06,193.880005,6712400,2.675569405506826,1,-0.033644020494342335,-1,200.630005,-0.7077695083544421,-1,-1,1,-1,0.0,0.0,-0.3182,-1.0
1180,2015-03-09,190.880005,6736700,1.805645361415933,1,-0.015473488356883447,-1,193.880005,0.2630462073693353,1,-1,1,1,0.0,0.0,-0.2732,-1.0
1181,2015-03-10,190.320007,5579700,-0.9869467955607074,-1,-0.0029337698309469533,-1,190.880005,-1.2678111570669712,-1,-1,-1,-1,0.0,0.0,0.4019,1.0
1182,2015-03-11,193.740005,4974900,-1.3549626373516936,-1,0.017969724013303434,1,190.320007,0.4361007615978012,1,1,-1,1,-0.2263,-1.0,0.0,0.0
1183,2015-03-12,191.070007,4149300,1.3832221935483848,1,-0.013781345778328014,-1,193.740005,0.00515897581400575,1,-1,1,1,0.1045,1.0,0.0,-1.0
1184,2015-03-13,188.679993,5434300,0.14289706498381166,1,-0.012508577549798285,-1,191.070007,-1.1095461989489581,-1,-1,1,-1,0.6376,1.0,0.0,-1.0
1185,2015-03-16,195.699997,5628800,-1.9270817708333317,-1,0.03720587375684281,1,188.679993,1.7595967368940937,1,1,-1,1,-0.2554,-1.0,0.0,-1.0
1186,2015-03-17,194.729996,4894100,0.35818299394811737,1,-0.004956571358557539,-1,195.699997,-0.13796832097038825,-1,-1,1,-1,2.1006,1.0,0.0,-1.0
1187,2015-03-18,200.710007,4820900,-2.9493228321437224,-1,0.030709244198823926,1,194.729996,0.11811790927167627,1,1,-1,1,0.6696,1.0,0.0,-1.0
1188,2015-03-19,195.649994,8475200,3.1435673267326765,1,-0.02521056660617837,-1,200.710007,0.6427148398235975,1,-1,1,1,0.0,0.0,0.0,-1.0
1189,2015-03-20,198.080002,4269500,-0.3190706556455461,-1,0.012420179271766418,1,195.649994,0.9200117839001845,1,1,-1,1,0.0,0.0,0.0,-1.0
1190,2015-03-23,199.630005,2631600,-0.5692720403022726,-1,0.007825136229552276,1,198.080002,0.2120345293615216,1,1,-1,1,-0.0414,-1.0,0.0,0.0
1191,2015-03-24,201.720001,3649900,-0.06945083768775281,-1,0.010469348032125623,1,199.630005,0.976805565876731,1,1,-1,1,-0.3020999999999999,-1.0,0.7845,1.0
1192,2015-03-25,194.300003,5730400,2.0023205325602333,1,-0.03678365042244869,-1,201.720001,-1.7102899974703034,-1,-1,1,-1,0.0,0.0,0.0,-1.0
1193,2015-03-26,190.410004,4128000,1.810021677083545,1,-0.020020581265765558,-1,194.300003,-0.19557642518410628,-1,-1,1,-1,0.0,0.0,0.0,0.0
1194,2015-03-27,185.0,8604900,2.152645501303654,1,-0.028412393710154138,-1,190.410004,-0.7037429609003164,-1,-1,1,-1,0.0,0.0,0.3182,1.0
1195,2015-03-30,190.570007,10089500,-2.5396829957594917,-1,0.03010814594594602,1,185.0,0.4594627027027068,1,1,-1,1,0.0,-1.0,0.0,-1.0
1196,2015-03-31,188.770004,5026600,2.4595644213277774,1,-0.00944536356132897,-1,190.570007,1.5532307767612141,1,-1,1,1,0.7412000000000001,1.0,0.0,0.0
1197,2015-04-01,187.589996,3794600,0.5882358334112804,1,-0.006251035519393322,-1,188.770004,-0.03708587090987397,-1,-1,1,-1,0.5859,1.0,0.0,-1.0
1198,2015-04-02,191.0,5010400,-0.4047752805503923,-1,0.01817796296557317,1,187.589996,1.4073245142560877,1,1,-1,1,0.0,0.0,0.6932,1.0
1199,2015-04-06,203.100006,12455800,-2.57576060606061,-1,0.06335081675392673,1,191.0,3.664921465968586,1,1,-1,1,1.0065,1.0,0.0,-1.0
1200,2015-04-07,203.25,4347900,-0.3654165316630404,-1,0.0007385228733081117,1,203.100006,-0.2905026994435461,-1,1,-1,-1,0.0,0.0,0.0,0.0
1201,2015-04-08,207.669998,6303100,0.2545624436296239,1,0.02174660762607616,1,203.25,2.4354228782287803,1,1,1,1,0.0,0.0,0.1531,1.0
1202,2015-04-09,210.089996,3800200,-0.7964319223481379,-1,0.011653093963047922,1,207.669998,0.3659628291612944,1,1,-1,1,0.0,-1.0,0.0,0.0
1203,2015-04-10,210.899994,4067700,-0.5003516654652775,-1,0.003855481057746246,1,210.089996,-0.11423199798622373,-1,1,-1,-1,0.0,0.0,0.0,0.0
1204,2015-04-13,209.77999900000003,3758200,0.3136300103247293,1,-0.005310550174790207,-1,210.899994,-0.21810906262993998,-1,-1,1,-1,-0.048400000000000026,-1.0,0.0,0.0
1205,2015-04-14,207.460007,3026000,0.5321954081345862,1,-0.011059166798833007,-1,209.77999900000003,-0.5767909265744767,-1,-1,1,-1,0.4869,1.0,-0.29600000000000004,-1.0
1206,2015-04-15,207.830002,1952400,-0.1783452171579213,-1,0.0017834521715791587,1,207.460007,0.0,-1,1,-1,-1,-0.843,-1.0,0.0,0.0
1207,2015-04-16,206.699997,1659100,0.4814636564486807,1,-0.005437160126669394,-1,207.830002,-0.06255352872489085,-1,-1,1,-1,0.0,0.0,0.0,0.0
1208,2015-04-17,206.789993,2469900,-0.8780857388632117,-1,0.00043539429756256354,1,206.699997,-0.8272820632890479,-1,1,-1,-1,0.0,0.0,0.0,0.0
1209,2015-04-20,205.270004,2559300,0.7302422900195504,1,-0.0073503992042786015,-1,206.789993,-0.004832922451899127,-1,-1,1,-1,0.0,0.0,0.4588,1.0
1210,2015-04-21,209.410004,3432500,-1.7541306838562152,-1,0.02016855809093276,1,205.270004,0.2581960294598151,1,1,-1,1,0.0,0.0,0.0,-1.0
1211,2015-04-22,219.440002,7863000,-3.265883294117643,-1,0.047896460572151016,1,209.410004,1.4755722940533371,1,1,-1,1,0.0,0.0,0.2732,1.0
1212,2015-04-23,218.600006,4411200,-0.1511898080141179,-1,-0.003827907365768213,-1,219.440002,-0.5331744391799598,-1,-1,-1,-1,0.4215,1.0,0.5991,1.0
1213,2015-04-24,218.429993,2427800,0.9387786848072452,1,-0.0007777355687720312,-1,218.600006,0.8691646604986792,1,-1,1,1,0.0,0.0,0.0,0.0
1214,2015-04-27,231.550003,11672600,-4.0393624554220064,-1,0.06006505709131237,1,218.429993,1.8907682700882489,1,1,-1,1,0.7734,1.0,0.2732,1.0
1215,2015-04-28,230.479996,6085400,1.818958040468584,1,-0.004621062345656624,-1,231.550003,1.3819896171627453,1,-1,1,1,0.0,0.0,0.0,0.0
1216,2015-04-29,232.449997,3936100,-1.0432488453390931,-1,0.008547383869270897,1,230.479996,-0.18656413027706947,-1,1,-1,-1,0.4404,1.0,0.0,0.0
1217,2015-04-30,226.050003,3911900,1.8837605880626969,1,-0.02753277729661596,-1,232.449997,-0.8862112396585693,-1,-1,1,-1,0.8779,1.0,0.0,-1.0
1218,2015-05-01,226.02999900000003,5281700,1.7004448838788655,1,-8.849369491026327e-05,-1,226.050003,1.7208577519903938,1,-1,1,1,0.6947,1.0,2.1591,1.0
1219,2015-05-04,230.50999500000003,4434600,-1.021124582118822,-1,0.019820360216875388,1,226.02999900000003,0.951198517679944,1,1,-1,1,0.4927,1.0,0.2732,1.0
1220,2015-05-05,232.949997,5796900,2.0230476535802446,1,0.010585232974387848,1,230.50999500000003,3.1451998426358903,1,1,1,1,-0.34,-1.0,0.0,-1.0
1221,2015-05-06,230.429993,5270900,1.5677116215024716,1,-0.01081778936447031,-1,232.949997,0.4936720389826762,1,-1,1,1,0.2023,1.0,0.4697,1.0
1222,2015-05-07,236.800003,9455900,-7.149322624434378,-1,0.027644014206084533,1,230.429993,-4.092346173008834,-1,1,-1,-1,0.0,0.0,0.0,-1.0
1223,2015-05-08,236.610001,4668200,-0.26272129618371537,-1,-0.0008023733006455869,-1,236.800003,-0.3420599618826894,-1,-1,-1,-1,0.0,0.0,0.0,-1.0
1224,2015-05-11,239.490005,5672300,-1.3542731790592408,-1,0.012171945343933288,1,236.610001,-0.13524703040763394,-1,1,-1,-1,0.0,0.0,0.0,0.0
1225,2015-05-12,244.740005,6363400,-1.928284528223373,-1,0.021921582906977655,1,239.490005,0.2588817850665687,1,1,-1,1,1.0802999999999998,1.0,0.4019,1.0
1226,2015-05-13,243.179993,5440200,1.7891070563018,1,-0.006374160203191703,-1,244.740005,1.172671382432968,1,-1,1,1,0.0,0.0,0.0,-1.0
1227,2015-05-14,244.100006,2895900,0.29409401985678724,1,0.003783259422990293,1,243.179993,0.6744033420545212,1,1,1,1,0.0,0.0,0.0,0.0
1228,2015-05-15,248.839996,4527600,-2.0128738330263305,-1,0.019418229756208882,1,244.100006,-0.06964891266736925,-1,1,-1,-1,0.0,0.0,0.0,0.0
1229,2015-05-18,248.75,3353200,-0.7085020242914979,-1,-0.00036166211801413883,-1,248.839996,-0.7394293640801959,-1,-1,-1,-1,0.0,0.0,-0.2263,-1.0
1230,2015-05-19,247.139999,3674200,0.519258558285274,1,-0.006472365829145677,-1,248.75,-0.1286460301507439,-1,-1,1,-1,0.0,-1.0,0.0,0.0
1231,2015-05-20,244.350006,3755600,1.1249135854628318,1,-0.011289119573072435,-1,247.139999,-0.0040438617951254726,-1,-1,1,-1,0.0,0.0,0.0,0.0
1232,2015-05-21,245.619995,1970600,-1.0657104105077928,-1,0.005197417511010771,1,244.350006,-0.5402115684826198,-1,1,-1,-1,0.0,0.0,0.25,1.0
1233,2015-05-22,247.729996,2223100,-0.9576945766220916,-1,0.008590509905351817,1,245.619995,-0.09770784337001323,-1,1,-1,-1,1.0773,1.0,0.0,0.0
1234,2015-05-26,247.460007,3498700,0.08881863946113491,1,-0.0010898518724393735,-1,247.729996,-0.02018447535920332,-1,-1,1,-1,0.0,0.0,0.0,0.0
1235,2015-05-27,247.429993,3408200,0.4345909708782568,1,-0.00012128828558533035,-1,247.460007,0.4243061384864673,1,-1,1,1,0.34,1.0,0.1979,1.0
1236,2015-05-28,251.449997,3647300,-1.7892555632484102,-1,0.016247035984841233,1,247.429993,-0.16165946381447474,-1,1,-1,-1,0.0,0.0,0.0,0.0
1237,2015-05-29,250.800003,3789300,0.07968007968128471,1,-0.0025849831288725644,-1,251.449997,-0.17896082933738294,-1,-1,1,-1,0.0,0.0,0.0,0.0
1238,2015-06-01,249.449997,2505100,0.7796058107536524,1,-0.00538279897867444,-1,250.800003,0.24322208640485524,1,-1,1,1,0.7906,1.0,0.6705,1.0
1239,2015-06-02,248.350006,2134800,0.2289860214445225,1,-0.004409665316612577,-1,249.449997,-0.2124670300156516,-1,-1,1,-1,0.0,0.0,0.0,0.0
1240,2015-06-03,248.990005,1781500,-0.318294927296048,-1,0.002577004165644992,1,248.350006,-0.06040225342293045,-1,1,-1,-1,0.0,0.0,0.0,0.0
1241,2015-06-04,245.919998,2453600,0.6383846464646495,1,-0.012329840308248465,-1,248.990005,-0.5984196032286391,-1,-1,1,-1,0.0,0.0,0.0,0.0
