,date,open,high,low,close,adj close,volume,MA5,MA10,MA20,MA50,change,volatility
0,2010-06-29,19.0,25.0,17.540001,23.889999,23.889999,18766300,,,,,,
1,2010-06-30,25.790001,30.42,23.299999,23.83,23.83,17187100,,,,,-0.0025146283685483265,
2,2010-07-01,25.0,25.92,20.27,21.959999,21.959999,8218800,,,,,-0.08172272000666242,
3,2010-07-02,23.0,23.1,18.709999,19.200001,19.200001,5139800,20.997999999999998,,,,-0.1343122399869204,
4,2010-07-06,20.0,20.0,15.83,16.110001,16.110001,6866900,19.380000199999998,,,,-0.17547007185494035,
5,2010-07-07,16.4,16.629998999999998,14.98,15.8,15.8,6921700,18.105999999999998,,,,-0.01943031922920638,
6,2010-07-08,16.139999,17.52,15.57,17.459999,17.459999,7711400,17.194000199999998,19.0839997,,,0.0999025531047647,
7,2010-07-09,17.58,17.9,16.549999,17.4,17.4,4050600,16.763999799999997,18.6789998,,,-0.003442286917202627,
8,2010-07-12,17.950001,18.07,17.0,17.049999,17.049999,2202500,17.1699994,18.284999699999997,,,-0.020320061141985542,
9,2010-07-13,17.389999,18.639999,16.9,18.139999,18.139999,2680100,17.977999399999998,18.152999699999995,,,0.061969244481699784,
10,2010-07-14,17.940001000000002,20.15,17.76,19.84,19.84,4195200,18.4639994,18.423999599999995,,,0.08958071229652932,
11,2010-07-15,19.940001000000002,21.5,19.0,19.889999,19.889999,3739800,19.111999200000003,18.842999399999997,19.871499699999998,,0.002516940732631888,
12,2010-07-16,20.700001,21.299999,20.049999,20.639999,20.639999,2621300,20.083999400000003,19.284999299999996,19.712999699999997,,0.0370138495743897,
13,2010-07-19,21.370001000000002,22.25,20.92,21.91,21.91,2486500,20.515999400000002,19.638999399999996,19.538999699999998,,0.05971226144362669,
14,2010-07-20,21.85,21.85,20.049999,20.299999,20.299999,1825300,20.5919992,20.027999499999993,19.4379998,,-0.0763223168207185,
15,2010-07-21,20.66,20.9,19.5,20.219998999999998,20.219998999999998,1252500,20.8139994,20.41799969999999,19.52399975,,-0.0039486726503167886,
16,2010-07-22,20.5,21.25,20.370001000000002,21.0,21.0,957800,20.9439998,20.658999699999992,19.81599975,,0.03785027358708316,
17,2010-07-23,21.190001000000002,21.559998999999998,21.059998999999998,21.290001,21.290001,653600,20.752000000000002,20.74699959999999,20.08899975,,0.013715088152372748,
18,2010-07-26,21.5,21.5,20.299999,20.950001,20.950001,922200,20.802,20.792999699999992,20.23849985,,-0.01609883177495314,
19,2010-07-27,20.91,21.18,20.26,20.549999,20.549999,619700,20.902,20.722999899999994,20.34799985,,-0.01927780182040053,
20,2010-07-28,20.549999,20.9,20.51,20.719998999999998,20.719998999999998,467200,20.772000000000002,20.623999899999994,20.4754999,,0.008238476848290816,
21,2010-07-29,20.77,20.879998999999998,20.0,20.35,20.35,616000,20.502000000000002,20.789000099999992,20.520000000000003,,-0.018018457240128693,
22,2010-07-30,20.200001,20.440001000000002,19.549999,19.940001000000002,19.940001000000002,426900,20.4959998,20.893000199999992,20.423000000000002,,-0.02035309720446158,0.06721756311412759
23,2010-08-02,20.5,20.969998999999998,20.33,20.92,20.92,718100,20.776000200000002,20.838000299999994,20.308500050000003,,0.04797782451257977,0.0672622925356269
24,2010-08-03,21.0,21.950001,20.82,21.950001,21.950001,1230500,20.8840004,20.668000199999994,20.192500100000004,,0.048061545882543556,0.06614678729731338
25,2010-08-04,21.950001,22.18,20.85,21.26,21.26,913000,20.9040006,20.53300009999999,20.036000150000003,,-0.031939812165463995,0.059597379190044035
26,2010-08-05,21.540001,21.549999,20.049999,20.450001,20.450001,796200,20.8340004,20.381000299999993,19.978500200000003,19.83360002,-0.0388444415252369,0.04385008433395748
27,2010-08-06,20.1,20.16,19.52,19.59,19.59,741900,20.5700004,20.099000399999994,19.90600025,19.77000002,-0.042963699432115705,0.044767668044084295
28,2010-08-09,19.9,19.98,19.450001,19.6,19.6,812700,19.9860004,19.824000399999996,19.795500300000004,19.696800019999998,0.0005103342800223477,0.04152490853820451
29,2010-08-10,19.65,19.65,18.82,19.030001000000002,19.030001000000002,1281300,19.3140004,19.662000299999995,19.686000250000003,19.67200002,-0.029512832379807345,0.04149138279661776
