,date,equinix_close,equinix_vol,equinix_intra_perc_change,equinix_intra_returns,equinix_pct_change,equinix_pct_returns,equinix_previous_close,equinix_opening_change,equinix_opening_returns,equinix_target,equinix_intra_target,equinix_open_target
1,2010-03-30,97.97,539600,-0.6678997122893606,-1,0.009063755278607477,1,97.09,0.23689360387268488,1,1,-1,1
2,2010-03-31,97.34,645100,0.07186120521506331,1,-0.006430539961212567,-1,97.97,-0.5716035521077905,-1,-1,1,-1
3,2010-04-01,98.9,776200,-0.5796806671412665,-1,0.01602629956852275,1,97.34,1.0170536264639354,1,1,-1,1
4,2010-04-05,101.61,662300,-2.9691933522496883,-1,0.02740141557128406,1,98.9,-0.22244691607684414,-1,1,-1,-1
5,2010-04-06,101.45,887500,0.03941275002462513,1,-0.0015746481645506627,-1,101.61,-0.11809861234130946,-1,-1,1,-1
6,2010-04-07,101.63,532500,-0.41497875703981996,-1,0.0017742730409067153,1,101.45,-0.23656973878758905,-1,1,-1,-1
7,2010-04-08,101.89,345700,-0.2854330708661479,-1,0.0025582997146511577,1,101.63,-0.029518842861360955,-1,1,-1,-1
8,2010-04-09,102.66,459300,-0.7557169496515811,-1,0.007557169496515748,1,101.89,0.0,-1,1,-1,-1
9,2010-04-12,102.98,502900,-0.6450351837373054,-1,0.0031170855250342022,1,102.66,-0.33119033703487577,-1,1,-1,-1
10,2010-04-13,101.21,827400,1.0944981921235264,1,-0.01718780345698201,-1,102.98,-0.6311905224315456,-1,-1,1,-1
11,2010-04-14,101.35,642600,-0.6754743220423091,-1,0.001383262523465989,1,101.21,-0.5335441161940442,-1,1,-1,-1
12,2010-04-15,100.46,471800,0.9660883280757137,1,-0.008781450419338976,-1,101.35,0.08880118401579025,1,-1,1,1
13,2010-04-16,99.62,747700,0.16035277610743295,1,-0.008361536930121316,-1,100.46,-0.6768863229145856,-1,-1,1,-1
14,2010-04-19,97.85,1214600,1.1815794788931546,1,-0.01776751656293929,-1,99.62,-0.602288697048794,-1,-1,1,-1
15,2010-04-20,99.26,514400,-1.1515336798125035,-1,0.01440981093510496,1,97.85,0.2861522738886062,1,1,-1,1
16,2010-04-21,100.62,819300,-1.9659505472233458,-1,0.01370139028813222,1,99.26,-0.5843239975821058,-1,1,-1,-1
17,2010-04-22,96.08,2774700,0.9280263971953038,1,-0.04512025442258005,-1,100.62,-3.617571059431525,-1,-1,1,-1
18,2010-04-23,95.74,541900,0.808122668876918,1,-0.003538717735220631,-1,96.08,0.4579517069109052,1,-1,1,1
19,2010-04-26,103.21,2289700,-4.315746917323626,-1,0.07802381449759754,1,95.74,3.342385627741804,1,1,-1,1
20,2010-04-27,102.34,1085700,0.06835269993164064,1,-0.00842941575428724,-1,103.21,-0.7751186900494111,-1,-1,1,-1
21,2010-04-28,100.1,1127500,2.341463414634152,1,-0.02188782489740093,-1,102.34,0.15634160641000253,1,-1,1,1
22,2010-04-29,101.35,786500,-0.7255018882925758,-1,0.012487512487512564,1,100.1,0.5194805194805298,1,1,-1,1
23,2010-04-30,100.65,1232600,0.9447888987304337,1,-0.00690675875678326,-1,101.35,0.25653675382338936,1,-1,1,1
24,2010-05-03,103.29,1085300,-3.0118679565174133,-1,0.026229508196721207,1,100.65,-0.3775459513164527,-1,1,-1,-1
25,2010-05-04,100.15,1235300,2.0442097026603965,1,-0.030399845096330758,-1,103.29,-1.0165553296543821,-1,-1,1,-1
26,2010-05-05,95.11,2809200,4.373617534687306,1,-0.050324513230154855,-1,100.15,-0.6889665501747497,-1,-1,1,-1
27,2010-05-06,92.45,2054700,2.3759239704329462,1,-0.02796761644411727,-1,95.11,-0.43107980233413584,-1,-1,1,-1
28,2010-05-07,91.45,1315500,1.0816657652785289,1,-0.010816657652785278,-1,92.45,0.0,-1,-1,1,-1
29,2010-05-10,98.38,2054500,-3.0588728263146887,-1,0.07577911427009276,1,91.45,4.384909786768716,1,1,-1,1
30,2010-05-11,98.5,1029600,-0.8394758394758324,-1,0.0012197601138443925,1,98.38,-0.7115267330758169,-1,1,-1,-1
31,2010-05-12,99.25,756700,-0.040318516278607254,-1,0.0076142131979695105,1,98.5,0.7208121827411104,1,1,-1,1
32,2010-05-13,101.68,3444100,-2.821316614420069,-1,0.0244836272040303,1,99.25,-0.36272040302266945,-1,1,-1,-1
33,2010-05-14,99.65,958800,1.3366336633663312,1,-0.019964594807238445,-1,101.68,-0.6687647521636573,-1,-1,1,-1
34,2010-05-17,98.74,512900,1.1017628205128291,1,-0.009131961866532978,-1,99.65,0.19066733567485972,1,-1,1,1
35,2010-05-18,96.57,722600,2.4545454545454612,1,-0.02197690905408145,-1,98.74,0.2633178043346214,1,-1,1,1
36,2010-05-19,96.84,823400,-0.3211436859007586,-1,0.002795899347623587,1,96.57,-0.04142073107589525,-1,1,-1,-1
37,2010-05-20,92.27,1313900,2.627691008864509,1,-0.04719124328789759,-1,96.84,-2.1478727798430386,-1,-1,1,-1
38,2010-05-21,92.17,1217500,-0.7873154729360293,-1,-0.0010837758751489623,-1,92.27,-0.8886962176221884,-1,-1,-1,-1
39,2010-05-24,91.51,775200,0.3267617906546097,1,-0.007160681349679954,-1,92.17,-0.3905826190734506,-1,-1,1,-1
40,2010-05-25,90.84,714200,-1.1018363939899936,-1,-0.00732160419626271,-1,91.51,-1.814009397880025,-1,-1,-1,-1
41,2010-05-26,91.34,884800,0.12028430836522627,1,0.005504183179216193,1,90.84,0.6715103478643762,1,1,1,1
42,2010-05-27,93.97,678400,-0.5349309939017867,-1,0.028793518721261124,1,91.34,2.331946573242824,1,1,-1,1
43,2010-05-28,92.01,962200,1.6146278870829671,1,-0.02085772054911139,-1,93.97,-0.4788762370969489,-1,-1,1,-1
44,2010-06-01,88.73,1069700,2.4087109546854353,1,-0.03564829909792411,-1,92.01,-1.184653841973702,-1,-1,1,-1
45,2010-06-02,91.46,1031400,-3.227990970654627,-1,0.0307674969007099,1,88.73,-0.14651189000339193,-1,1,-1,-1
