,date,google_compound,google_sentiment,amazon_compound,amazon_sentiment,fb_compound,fb_neg,fb_neu,fb_pos,fb_sentiment,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment
41,2016-04-18,1.036,1,2.3232,1,0.05180000000000007,0.231,1.3880000000000001,0.381,1,0.0,-1,0.4019,1
42,2016-04-20,-0.5097999999999998,-1,0.4215,1,-0.05690000000000001,0.273,1.555,0.172,-1,0.3561,1,1.1306,1
43,2016-05-02,-0.25649999999999995,-1,0.8931,1,-1.375,0.9309999999999999,4.8050000000000015,0.264,-1,0.2732,1,0.9905,1
44,2016-05-16,-1.5107999999999997,-1,0.7769999999999999,1,-0.2009,0.321,1.3840000000000001,0.29600000000000004,-1,-0.4588,-1,1.4409999999999998,1
45,2016-05-17,0.11879999999999995,1,3.8775999999999993,1,0.128,0.0,0.8420000000000001,0.158,1,-0.9176,-1,0.4201,1
46,2016-05-18,0.9048,1,0.04760000000000003,1,0.0,0.0,1.0,0.0,-1,0.4346,1,0.10390000000000003,1
47,2016-05-19,-0.13699999999999998,-1,-1.2626,-1,-1.8352,0.935,4.065,0.0,-1,0.8978999999999999,1,0.6249,1
48,2016-05-25,0.17380000000000007,1,1.0958,1,-4.8924,2.639,13.001,0.36,-1,-0.29600000000000004,-1,0.8313,1
49,2016-05-26,0.16720000000000002,1,0.8605,1,0.7363999999999999,0.273,6.144,0.583,1,-0.01839999999999997,-1,0.4131,1
50,2016-06-01,-0.4588,-1,1.2493,1,0.0972,0.4370000000000001,3.2030000000000003,0.36,1,0.2585,1,0.4404,1
51,2016-06-02,0.4404,1,2.1765,1,-1.3176,1.1320000000000001,5.479,0.389,-1,-0.4019,-1,0.6124,1
52,2016-06-03,0.0,-1,1.0307,1,-0.4588,0.375,2.625,0.0,-1,1.3594,1,1.6963,1
53,2016-06-07,0.4334,1,2.2941000000000003,1,0.2023,0.0,0.87,0.13,1,0.7293999999999999,1,0.0,-1
54,2016-06-08,1.0539,1,0.631,1,-0.8404,0.5660000000000001,2.254,0.18,-1,0.4123000000000001,1,0.7631,1
55,2016-06-09,-0.07700000000000001,-1,1.0354,1,0.1544,0.36,1.244,0.396,1,-0.2324,-1,-0.29600000000000004,-1
56,2016-06-17,-0.5267,-1,-0.2732,-1,-0.4588,0.273,1.727,0.0,-1,0.3182,1,0.6266,1
57,2016-06-22,-0.6981000000000002,-1,2.9462,1,0.0772,0.196,1.588,0.21600000000000003,1,-1.3948999999999998,-1,-0.5994,-1
58,2016-06-27,1.0101,1,1.2858999999999998,1,0.5574,0.0,0.7829999999999999,0.217,1,0.6634,1,0.8274999999999999,1
59,2016-06-28,0.0,-1,2.4214,1,0.0772,0.16399999999999998,1.656,0.18,1,1.4051999999999998,1,0.8016,1
60,2016-06-29,1.0206,1,2.039,1,0.3229000000000001,1.169,6.816999999999998,1.0139999999999998,1,1.3177,1,0.6560999999999999,1
61,2016-06-30,-0.1271,-1,-0.3113,-1,-0.3612,0.249,1.651,0.10099999999999999,-1,-2.958,-1,-0.6878,-1
