,date,tsla_intra_target,tsla_sentiment,em_tweets3_sentiment,dax_return,cac_return,dji_previous_day_return,MA5,MA10,MA20,MA50,change,volatility,tsla_intra_target_lag1,tsla_sentiment_lag1,em_tweets3_sentiment_lag1,dax_return_lag1,cac_return_lag1,dji_previous_day_return_lag1,MA5_lag1,MA10_lag1,MA20_lag1,MA50_lag1,change_lag1,volatity_lag1,tsla_intra_target_lag2,tsla_sentiment_lag2,em_tweets3_sentiment_lag2,dax_return_lag2,cac_return_lag2,dji_previous_day_return_lag2,MA5_lag2,MA10_lag2,MA20_lag2,MA50_lag2,change_lag2,volatity_lag2,tsla_intra_target_lag3,tsla_sentiment_lag3,em_tweets3_sentiment_lag3,dax_return_lag3,cac_return_lag3,dji_previous_day_return_lag3,MA5_lag3,MA10_lag3,MA20_lag3,MA50_lag3,change_lag3,volatity_lag3
30,2010-08-12,1.0,0.0,0.0,-1.0,1.0,-1.0,18.490000200000004,19.1680003,19.577500250000003,19.8278,-0.016901810802603025,0.04210853388880367,1.0,0.0,0.0,1.0,1.0,1.0,20.834000399999997,20.381000299999997,19.978500200000006,19.83360002,-0.0388444415252369,0.043850084333957484,1.0,0.0,0.0,-1.0,-1.0,1.0,19.314000399999998,19.662000299999995,19.686000250000006,19.67200002,-0.029512832379807345,0.041491382796617765,1.0,0.0,0.0,1.0,1.0,-1.0,19.986000399999998,19.8240004,19.795500300000004,19.69680002,0.0005103342800223476,0.041524908538204515
31,2010-08-13,0.0,0.0,0.0,-1.0,-1.0,-1.0,18.326000400000005,18.9190003,19.536500300000004,19.93060002,0.040094457201878,0.03677536033794128,1.0,0.0,0.0,-1.0,-1.0,-1.0,20.570000399999998,20.099000399999994,19.90600025,19.77000002,-0.042963699432115705,0.044767668044084295,1.0,0.0,0.0,-1.0,-1.0,-1.0,18.7440002,19.448000399999994,19.645000150000005,19.71040002,-0.061216021009955074,0.04182643415555352,1.0,0.0,0.0,-1.0,-1.0,1.0,19.314000399999998,19.662000299999995,19.686000250000006,19.67200002,-0.029512832379807345,0.041491382796617765
32,2010-08-16,0.0,0.0,0.0,-1.0,-1.0,-1.0,18.350000200000004,18.7530003,19.506500300000006,19.98600004,0.024799167782267626,0.038086268860148736,1.0,0.0,0.0,1.0,1.0,-1.0,19.986000399999998,19.8240004,19.795500300000004,19.69680002,0.0005103342800223476,0.041524908538204515,1.0,0.0,0.0,-1.0,1.0,-1.0,18.490000200000004,19.1680003,19.577500250000003,19.8278,-0.016901810802603025,0.04210853388880367,1.0,0.0,0.0,-1.0,-1.0,-1.0,18.7440002,19.448000399999994,19.645000150000005,19.71040002,-0.061216021009955074,0.04182643415555352
33,2010-08-17,0.0,0.0,0.0,1.0,1.0,-1.0,18.524000200000007,18.7040003,19.4945003,20.05920002,0.01951018859840303,0.0375189921427668,1.0,0.0,0.0,-1.0,-1.0,1.0,19.314000399999998,19.662000299999995,19.686000250000006,19.67200002,-0.029512832379807345,0.041491382796617765,0.0,0.0,0.0,-1.0,-1.0,-1.0,18.326000400000005,18.9190003,19.536500300000004,19.93060002,0.040094457201878,0.03677536033794128,1.0,0.0,0.0,-1.0,1.0,-1.0,18.490000200000004,19.1680003,19.577500250000003,19.8278,-0.016901810802603025,0.04210853388880367
34,2010-08-18,1.0,0.0,0.0,1.0,-1.0,1.0,18.762000400000005,18.7570002,19.44200035,20.13360004,-0.020042865028237492,0.035021453302725804,1.0,0.0,0.0,-1.0,-1.0,-1.0,18.7440002,19.448000399999994,19.645000150000005,19.71040002,-0.061216021009955074,0.04182643415555352,0.0,0.0,0.0,-1.0,-1.0,-1.0,18.350000200000004,18.7530003,19.506500300000006,19.98600004,0.024799167782267626,0.038086268860148736,0.0,0.0,0.0,-1.0,-1.0,-1.0,18.326000400000005,18.9190003,19.536500300000004,19.93060002,0.040094457201878,0.03677536033794128
35,2010-08-19,0.0,0.0,0.0,-1.0,-1.0,1.0,18.918000400000004,18.7740002,19.318500300000004,20.16820008,0.001065016046752863,0.031366783767787836,1.0,0.0,0.0,-1.0,1.0,-1.0,18.490000200000004,19.1680003,19.577500250000003,19.8278,-0.016901810802603025,0.04210853388880367,0.0,0.0,0.0,1.0,1.0,-1.0,18.524000200000007,18.7040003,19.4945003,20.05920002,0.01951018859840303,0.0375189921427668,0.0,0.0,0.0,-1.0,-1.0,-1.0,18.350000200000004,18.7530003,19.506500300000006,19.98600004,0.024799167782267626,0.038086268860148736
36,2010-08-20,0.0,0.0,0.0,-1.0,-1.0,-1.0,19.188000000000006,18.9740002,19.278000350000006,20.16260006,0.01636346840741391,0.03138412387820253,0.0,0.0,0.0,-1.0,-1.0,-1.0,18.326000400000005,18.9190003,19.536500300000004,19.93060002,0.040094457201878,0.03677536033794128,1.0,0.0,0.0,1.0,-1.0,1.0,18.762000400000005,18.7570002,19.44200035,20.13360004,-0.020042865028237492,0.035021453302725804,0.0,0.0,0.0,1.0,1.0,-1.0,18.524000200000007,18.7040003,19.4945003,20.05920002,0.01951018859840303,0.0375189921427668
37,2010-08-23,0.0,0.0,0.0,-1.0,1.0,-1.0,19.198000200000006,19.1890002,19.30850025,20.16680008,0.05252285492201567,0.030300416229053693,0.0,0.0,0.0,-1.0,-1.0,-1.0,18.350000200000004,18.7530003,19.506500300000006,19.98600004,0.024799167782267626,0.038086268860148736,0.0,0.0,0.0,-1.0,-1.0,1.0,18.918000400000004,18.7740002,19.318500300000004,20.16820008,0.001065016046752863,0.031366783767787836,1.0,0.0,0.0,1.0,-1.0,1.0,18.762000400000005,18.7570002,19.44200035,20.13360004,-0.020042865028237492,0.035021453302725804
38,2010-08-24,1.0,0.0,0.0,-1.0,-1.0,-1.0,19.424000200000012,19.3270003,19.381500200000005,20.16460012,-0.04730085885753205,0.03256657760204743,0.0,0.0,0.0,1.0,1.0,-1.0,18.524000200000007,18.7040003,19.4945003,20.05920002,0.01951018859840303,0.0375189921427668,0.0,0.0,0.0,-1.0,-1.0,-1.0,19.188000000000006,18.9740002,19.278000350000006,20.16260006,0.01636346840741391,0.03138412387820253,0.0,0.0,0.0,-1.0,-1.0,1.0,18.918000400000004,18.7740002,19.318500300000004,20.16820008,0.001065016046752863,0.031366783767787836
39,2010-08-25,0.0,0.0,0.0,-1.0,-1.0,-1.0,19.616000000000007,19.4360003,19.428500250000006,20.15440012,0.035809400613378804,0.03389468174925366,1.0,0.0,0.0,1.0,-1.0,1.0,18.762000400000005,18.7570002,19.44200035,20.13360004,-0.020042865028237492,0.035021453302725804,0.0,0.0,0.0,-1.0,1.0,-1.0,19.198000200000006,19.1890002,19.30850025,20.16680008,0.05252285492201567,0.030300416229053693,0.0,0.0,0.0,-1.0,-1.0,-1.0,19.188000000000006,18.9740002,19.278000350000006,20.16260006,0.01636346840741391,0.03138412387820253
